('ipiphone 6s có thể chiến được game pubg mobile mượt khong', {'entities': [(37, 48, 'GAME')]})
('cơ sở ở 306 cầu giấy còn những màu nào hả bạn?', {'entities': [(12, 20, 'LOCATION'), (21, 38, 'WHAT_ELSE_COLOR')]})
('chào bạn samsung note 8 ở hà nội còn k ạ', {'entities': [(9, 23, 'PHONE'), (26, 32, 'LOCATION')]})
('mình muốn đổi samsung samsung s6 plus 32gb thì có đc thu cũ đổi mới không?', {'entities': [(14, 37, 'PHONE'), (38, 40, 'ROM')]})
('hàng này iphone xách tay fullboiphone x nguyên seal không?', {'entities': [(40, 51, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('con này chơi pubg mobile có mượt không ạ nó có hơn con note 5 pro không ạ', {'entities': [(13, 24, 'GAME')]})
('phiếu mua hàng có được trừ vào giá sản phẩm luôn không ạ?', {'entities': [(23, 34, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('huawei p20 pro có trống nước ko anh', {'entities': [(15, 28, 'IS_WATER_PROTECTED'), (0, 14, 'PHONE')]})
('iphone iphone x ll/a sliver 64gb new có ko a', {'entities': [(0, 15, 'PHONE'), (16, 20, 'CODE'), (28, 30, 'ROM')]})
('cho e biết rõ tình trạng máy đc ko ạ', {'entities': [(14, 28, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('hà nội còn máy này ko bạn.', {'entities': [(0, 6, 'LOCATION')]})
('e trả trc 50% thì có dc lãi suất 0% k ạ', {'entities': [(2, 13, 'IS_NEEDED')]})
('cho mình iphone xin giá đã trừ quà,', {'entities': [(24, 34, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('bao giờ nhập tiếp màu đen ạ?', {'entities': [(22, 25, 'COLOR')]})
('cho mình hỏi trả góp là phải cần những gì ạ mình đang có khoảng 10tr ạ', {'entities': [(13, 32, 'IS_NEEDED')]})
('cho mình hỏi cn nguyễn ảnh thủ còn màu đen ko ạ', {'entities': [(16, 30, 'LOCATION'), (39, 42, 'COLOR')]})
('cho mình hỏi chương trình trả góp ntn ad?', {'entities': [(26, 33, 'IS_NEEDED')]})
('nếu ko lấu bộ quà tặng thì trừ bao nhiêu ạ??', {'entities': [(4, 17, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('pin iphone xài bao lâu tiếng vậy', {'entities': [(0, 22, 'HOW_LONG_PIN')]})
('trả góp thế nào ạ, hạn bao nhiêu, trả trước bao nhiêu, hơn giá gốc bao nhiêu.', {'entities': [(0, 15, 'IS_NEEDED')]})
('siphone iphone 8 plus có đc tặng quà ko ad', {'entities': [(22, 39, 'SALE_OFF_GIFF')]})
('còn hàng ko ad.', {'entities': [(4, 11, 'OTHER')]})
('cửa hàng ở lê văn việt q9 còn hàng màu gì vậy ac', {'entities': [(11, 22, 'LOCATION'), (23, 25, 'LOCATION'), (26, 41, 'WHAT_ELSE_COLOR')]})
('có trả góp 0% ko ạ', {'entities': [(3, 10, 'IS_NEEDED')]})
('phiên bản mi6iphone x ram 6gb có hàng ko shop', {'entities': [(10, 21, 'PHONE'), (12, 13, 'RAM')]})
('cần giấy tờ gì để mang ra làm thủ tục trả góp được nhỉ', {'entities': [(0, 14, 'WHAT_NEEDED_PAPERS')]})
('đây là máy full boiphone x chính hãng chứ ạ?', {'entities': [(11, 26, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('bên mình còn hàng 64gb màu j vậy?', {'entities': [(23, 32, 'WHAT_ELSE_COLOR'), (18, 20, 'ROM')]})
('còn bản 32gb không', {'entities': [(8, 10, 'ROM')]})
('mình dang iphone xai samsung samsung s8 , muon doi len samsung s9, cua hang co thu lai khong ad??', {'entities': [(21, 39, 'PHONE'), (55, 65, 'PHONE')]})
('con này có hỗ trợ 4g được không nhỉ?', {'entities': [(11, 20, 'IS_4G')]})
('sạc mấy chân v ạ?', {'entities': [(0, 12, 'WHAT_CHARGER')]})
('hôm nay ngày 26/11 còn áp dụng chương trình khuyến mãi này k shop', {'entities': [(19, 54, 'IS_SALE_OFF_NOW')]})
('thủ tục trả góp sao vậy', {'entities': [(8, 15, 'IS_NEEDED')]})
('điện thoại này không lấy quà hôm nay giá còn bao nhiêu vậy ?', {'entities': [(15, 28, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('còn phiên bản màu khác không ak', {'entities': [(14, 22, 'WHAT_ELSE_COLOR')]})
('đây là bản chính hãng hay sao', {'entities': [(11, 29, 'WHAT_FROM_TYPE')]})
('giá hiu vậy shop', {'entities': [(0, 7, 'OTHER')]})
('cho mình hỏi khi mua máy này có dc test chống nước tại cửa hàng ko', {'entities': [(40, 50, 'IS_WATER_PROTECTED')]})
('sạc của iphone là 2 chân hay 3 chân ạ.', {'entities': [(0, 24, 'WHAT_CHARGER')]})
('ở vũng tàu có chi nhánh k ạ', {'entities': [(2, 10, 'LOCATION')]})
('bên mình còn hàng k?', {'entities': [(9, 19, 'OTHER')]})
('cho hỏi iphone iphone xr 128gb có mã ll/a ở tphcm không?', {'entities': [(8, 24, 'PHONE'), (25, 28, 'ROM'), (37, 41, 'CODE'), (44, 49, 'LOCATION')]})
('ủa này là hàng nhập khẩu iphone xách tay hay chính hãng vậy shop', {'entities': [(25, 55, 'WHAT_FROM_TYPE')]})
('còn hàng tai tphcm k', {'entities': [(13, 18, 'LOCATION')]})
('máy huawei huawei nova 3ee mjk mua đc từ tháng 7 rồi h muốn mua huawei y9 cần bù thêm bao nhiu ạ', {'entities': [(4, 26, 'PHONE'), (64, 73, 'PHONE'), (78, 94, 'EXTRA_MONEY')]})
('giá tổng cộng bao gồm thuế ở tphcm là bao nhiêu vậy shop?', {'entities': [(14, 26, 'IF_INCLUDE_TAX'), (29, 34, 'LOCATION')]})
('khi nào mới có hàng vậy ạ? e muốn mua 1 chiếc iphone sony xperia sony xperia xa1 plus plus nên shop có thể cho e biết chi tiết khi nào có hàng lại không ạ?', {'entities': [(46, 90, 'PHONE')]})
('kính cường lực bị vỡ có bảo hành không vậy', {'entities': [(0, 20, 'IS_BROKEN_GLASS')]})
('cho em hỏi bên mình có chính sách trả góp 0% trong kỳ hạn 3 tháng không ạ?', {'entities': [(34, 44, 'IS_NEEDED')]})
('mình muốn mua iphone iphone x 64gb máy ll/a mới, không biết ở tp.hcm của hang nào còn vậy ad', {'entities': [(14, 29, 'PHONE'), (30, 32, 'ROM'), (39, 43, 'CODE'), (62, 68, 'LOCATION')]})
('mình còn đc giảm pmh 500k khi mua samsung j6 plus nữa không ? mình ở q.7', {'entities': [(5, 16, 'IS_SALE_OFF_NOW'), (34, 49, 'PHONE')]})
('cho em iphone xin gói trả góp của đt này ạ .', {'entities': [(22, 29, 'IS_NEEDED')]})
('với lại đây là bản quốc tế ạ ?', {'entities': [(15, 26, 'IS_GLOBAL')]})
('k bt bh có màu đen vậy ạ', {'entities': [(15, 18, 'COLOR')]})
('mk muốn mua trả góp máy này thì làm thế nào ?', {'entities': [(8, 19, 'IS_NEEDED')]})
('nếu mình mua aiphone 8 plus thì giá bao nhiêu?', {'entities': [(13, 27, 'PHONE')]})
('khong co ban 64 gb ha anh', {'entities': [(13, 15, 'ROM')]})
('hàng quốc tế hay look ạ shop', {'entities': [(5, 21, 'IS_GLOBAL')]})
('283 hồ tùng mậu - nam từ liêm còn hàng không ạ', {'entities': [(4, 15, 'LOCATION'), (18, 29, 'LOCATION')]})
('mình có siphone iphone 8 plus muốn đổi sang iphone iphone xsmaiphone x có được k?', {'entities': [(8, 29, 'PHONE'), (44, 70, 'PHONE')]})
('mình không lấy pmh 500.000₫ thì khi mua máy chỉ phải trả 4.190.000₫ phải không ad? và mình ở tân mỹ- mỹ đình thì ra cửa hàng nào gần nhất vậy ad? cảm ơn!', {'entities': [(44, 56, 'IS_PRICE_AFTER_SALE_OFF_PRICE'), (93, 99, 'LOCATION'), (101, 108, 'LOCATION')]})
('bên shop còn bản màu bạc, khu vực tphcm ko shop ơi!', {'entities': [(21, 24, 'COLOR'), (34, 39, 'LOCATION')]})
('cái giá này đang khuyến mãi hã bạn', {'entities': [(4, 27, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('ở hn còn máy không ?', {'entities': [(2, 4, 'LOCATION')]})
('huawei huawei p20 pro pro còn hàng ko b', {'entities': [(0, 25, 'PHONE')]})
('cần thủ tục gì không?', {'entities': [(4, 14, 'IS_NEEDED')]})
('còn hàng ko shop. thủ tục trả góp như thế nào vậy ạ.', {'entities': [(0, 11, 'OTHER')]})
('hi shop? cho minh hoi samsung a8 tím bên quang trung có sẵn ko', {'entities': [(41, 52, 'LOCATION'), (22, 32, 'PHONE'), (33, 36, 'COLOR')]})
('cho mình hỏi trừ quà sp còn bao nhiêu vậy shop', {'entities': [(13, 20, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('phải mã hàng ll/a không', {'entities': [(0, 17, 'WHAT_CODE')]})
('còn hàng màu bạc không shop ?', {'entities': [(13, 16, 'COLOR')]})
('shop ơi. dc tặng phm 1tr rồi cộng thêm tai nghe blt thì dc giảm nữa ko shop', {'entities': [(56, 67, 'SALE_OFF_GIFF')]})
('máy còn nguyên seal ko ạ?', {'entities': [(8, 19, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('nếu trừ hết quà tặng thì máy còn bao nhiêu và trả góp 30% hay 50%  như thế nào ạ, mong cửa hàng giải đáp', {'entities': [(4, 20, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('ngày black friday giảm bao nhiêu ạ ?', {'entities': [(18, 32, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('làm sao biết được máy này có phải hàng đài loan hay k ad?', {'entities': [(39, 47, 'LOCATION')]})
('ở đồng tháp có bán không ạ', {'entities': [(2, 11, 'LOCATION')]})
('chương trình nâng cấp bản 512gb còn hàng ở hcm ko ad ?', {'entities': [(26, 29, 'ROM'), (43, 46, 'LOCATION')]})
('máy samsung samsung a8 này khi mua online có là hàng chính hãng không ạ? chế độ bảo hành như thế nào vậy shop', {'entities': [(45, 63, 'WHAT_FROM_TYPE'), (4, 22, 'PHONE')]})
('liên hệ giá ko nhận quà nhé', {'entities': [(8, 23, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('chào ad! máy galaiphone xy samsung samsung a8 cửa hàng có kinh doanh màu iphone xanh dương không ạ?', {'entities': [(73, 90, 'COLOR')]})
('khi nào thì có samsung note 8 màu đen về lại vậy', {'entities': [(15, 29, 'PHONE'), (34, 37, 'COLOR')]})
('cho mình hỏi là samsung galaiphone xy siphone 8 plus ở shop còn màu orchid gray ko ạ?', {'entities': [(16, 52, 'PHONE'), (75, 79, 'COLOR')]})
('samsung j6 plus sài chip snap 430 hay 425 z ad', {'entities': [(16, 43, 'WHAT_CHIP'), (0, 15, 'PHONE')]})
('chính sách không lấy bộ quà tặng thì được giảm giá máy còn 5790k dc thực hiện đến bao giờ ạ?', {'entities': [(11, 27, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('ngoài màu đen thì bao giờ có màu khác vậy', {'entities': [(26, 37, 'WHAT_ELSE_COLOR'), (10, 13, 'COLOR')]})
('còn hàng ở hcm ko ạ', {'entities': [(11, 14, 'LOCATION')]})
('trả góp qua thẻ tín dụng thì hồ sơ cần những gì ah? số tiền cần trả trc tối thiểu bn ạ?', {'entities': [(8, 24, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT')]})
('sao e mua k có quà hay khuyến mãi gì vậy', {'entities': [(10, 33, 'SALE_OFF_GIFF')]})
('con này chơi free fire mượt được ko anh', {'entities': [(13, 22, 'GAME')]})
('mình đang iphone xài samsung samsung s7 edge thì có chtrinh đổi dth k shop', {'entities': [(21, 44, 'PHONE')]})
('máy xiaomi mi 8 pro này có tiếng việt trong máy không ạ,hay là pải đợi 1 thời gian cửa hàng mình mới cài cho tiếng việt à', {'entities': [(4, 19, 'PHONE'), (24, 37, 'IS_VIETNAMESE_INSTALLED')]})
('trừ quà còn bao nhiêu tiền shop ơi?', {'entities': [(0, 7, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('mình muốn trả góp nhưng chỉ có mỗi chứng minh thì sao vậy shop ??? có được không ???', {'entities': [(35, 45, 'IS_NEEDED')]})
('về samsung j6 plus mình mới mua đc 2 ngày mà s thấy nó mau tuột pin nhanh dù đã tắt hết chạy ngầm.h thêm tự độbg tắt nguồn là s v ad???', {'entities': [(55, 67, 'HOW_LONG_PIN'), (3, 18, 'PHONE')]})
('cho e hỏi là mua tại shop có ưu đãi gì k nhỉ?', {'entities': [(29, 40, 'SALE_OFF_GIFF')]})
('ở ho chi minh con may siphone iphone 8 plus màu iphone xanh hoac bac k vay? giá bao nhiêu', {'entities': [(2, 13, 'LOCATION'), (22, 43, 'PHONE'), (48, 59, 'COLOR'), (65, 68, 'COLOR')]})
('sam sung samsung a8 tgdd con giam gia ko a co mau vang ko a', {'entities': [(25, 40, 'IS_SALE_OFF_NOW'), (0, 19, 'PHONE')]})
('samsung note 9 chính hãng 512gb ram 8gb có màu đồng không ạ', {'entities': [(0, 14, 'PHONE'), (26, 29, 'ROM'), (36, 37, 'RAM'), (47, 51, 'COLOR')]})
('iphone 7 plus 32g đổi sang samsung note 9 bù thêm bao nhiêu bạn', {'entities': [(0, 13, 'PHONE'), (14, 16, 'ROM'), (27, 41, 'PHONE')]})
('bao giờ có hàng iphone iphone xs maiphone x gold về vậy', {'entities': [(16, 43, 'PHONE'), (44, 48, 'COLOR')]})
('mình mua samsung j4 hôm 21 tháng 9. giờ muốn đổi lên samsung samsung j4 plus thì mất bao nhiêu', {'entities': [(9, 19, 'PHONE')]})
('ủa giờ còn giảm giá 1tr không', {'entities': [(11, 29, 'IS_SALE_OFF_NOW')]})
('em đổi siphone iphone 8 plus len iphone iphone iphone xs maiphone x 64 được không ạ.', {'entities': [(7, 28, 'PHONE'), (33, 67, 'PHONE'), (68, 70, 'ROM')]})
('1 máy cũ giá 7.690k còn ko shop ơi!!', {'entities': [(2, 12, 'PRICE_OF_OLD_PHONE')]})
('còn hàng mẫu iphone xanh kg', {'entities': [(13, 24, 'COLOR')]})
('iphone 8 plus đỏ chính hảng giá bao nhiêu?', {'entities': [(0, 13, 'PHONE'), (14, 16, 'COLOR')]})
('chi nhanh hau giang con hang k', {'entities': [(10, 19, 'LOCATION')]})
('hết màu đen rồi ạ?', {'entities': [(8, 11, 'COLOR')]})
('máy sẵn tiếng việt chưa shop, mình ở cao bằng shop có ship ko? và phí ship là bnh ạ?', {'entities': [(8, 18, 'IS_VIETNAMESE_INSTALLED')]})
('máy chính hãng ah', {'entities': [(4, 14, 'WHAT_FROM_TYPE')]})
('có hàng màu hoàng kim chưa shop', {'entities': [(12, 21, 'COLOR')]})
('minh muốn chuyển từ iphone iphone 8 plus sang iphone iphone xs maiphone x thì bù thêm bao nhiêu ạ và có thanh toán bằng thẻ tín dụng teckcom thành 0% đc ko ạ. máy mình ko trày màn hình chỉ châm chích ở khung vì iphone xài ốp.', {'entities': [(20, 40, 'PHONE'), (46, 73, 'PHONE')]})
('cho mình hỏi samsung samsung samsung s9 plus máy mới màu iphone xanh dương thanh toán trả góp home credit chia tỉ lệ như thế nào ạ. có được áp dụng pmh 4600 khi trả góp không ?', {'entities': [(13, 44, 'PHONE'), (57, 74, 'COLOR'), (86, 93, 'IS_NEEDED')]})
('mình thấy còn 1 máy, có ai đặt mua chưa ad?', {'entities': [(21, 39, 'OTHER')]})
('cho em hỏi samsung galaiphone xy samsung j6 plus giá 4.690.000 sau khi trừ  phiếu mua hàng là còn 4.190.000 phải không ạ ?', {'entities': [(63, 74, 'IS_PRICE_AFTER_SALE_OFF_PRICE'), (11, 48, 'PHONE')]})
('cho mình hỏi con này con mới 100% kg qtv.va mình muôn mua trả góp qua thẻ bidv được không. va trả trước 30% nha .va mình sai gòn quận 2 thì mua ở cửa hang nào gần nhất', {'entities': [(58, 65, 'IS_NEEDED')]})
('năm 2019 em mua năm 2019 em mua được không ? hàng lúc đó có giảm giá không ạ ? em mong lúc đấy ở hà nội còn hàng ạ /__\\', {'entities': [(0, 15, 'WHEN_END_SALE_OFF')]})
('ac cho e hỏi e mới mua máy đc nửa tháng. giờ máy có hiện tượng loa ngoài đôi lúc to lúc nhỏ. k ổn định. bg iphone xử lý ntn ạ', {'entities': [(63, 83, 'IS_BROKEN_VOLUME')]})
('mẫu này màu trắng mã ll/a khu vực cầu giấy hiện còn hàng k vậy?', {'entities': [(12, 17, 'COLOR'), (21, 25, 'CODE'), (34, 42, 'LOCATION')]})
('cho hỏi là có mã giảm cho khách hàng mới khi nhận thông báo qua email 10%, thì lúc mua hàng được áp dụng chung với cả galaiphone xy gift và phiếu mua hàng 500k luôn phải ko shop?', {'entities': [(83, 110, 'SALE_OFF_GIFF')]})
('qua 3 trieu co duoc tru thang vao gia san pham khong a', {'entities': [(20, 37, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('có trả góp qua thẻ tín dụng của maritime bank hem', {'entities': [(3, 18, 'IS_SUPPORTED_INSTALLMENT_THROUGH_CREDIT')]})
('cho e iphone xin chi nhánh', {'entities': [(6, 26, 'OTHER')]})
('trả góp yêu cầu những gì và bn tuổi ?', {'entities': [(8, 24, 'IS_NEEDED')]})
('ở iphone xa có cà thẻ ko ad,* giảm tới 1% giá hóa đơnvậy là sao ad.', {'entities': [(12, 21, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT')]})
('cho mình hỏi trả góp iphone iphone x 64gb thì mình thanh toán trước bao nhiêu % vậy ah', {'entities': [(21, 36, 'PHONE'), (37, 39, 'ROM'), (9, 20, 'IS_NEEDED')]})
('cho mình hỏi mình mua điện thoại này có iphone xuất đc hóa đơn vat ko ?', {'entities': [(40, 62, 'IF_INCLUDE_TAX')]})
('ben go vap con hang ko zenfon maiphone x pro ma mau bac', {'entities': [(4, 10, 'LOCATION'), (23, 44, 'PHONE'), (52, 55, 'COLOR')]})
('samsung samsung samsung s9 plus gia bao nhieu shop', {'entities': [(0, 31, 'PHONE')]})
('chơi liên quân maiphone x setting được không', {'entities': [(5, 14, 'GAME')]})
('tặng tai nghe với pmh 1 triệu à', {'entities': [(0, 13, 'SALE_OFF_GIFF')]})
('ram màu iphone xanh nước biển k?', {'entities': [(8, 29, 'COLOR')]})
('ở quận 9 còn san phẩm màu tím không?', {'entities': [(2, 8, 'LOCATION'), (26, 29, 'COLOR')]})
('nếu mua trả góp thì mình đưa trước bao nhiêu phần trăm vậy ac', {'entities': [(4, 15, 'IS_NEEDED')]})
('có bản 4g ram rom64 ko ad', {'entities': [(7, 8, 'RAM'), (17, 19, 'ROM')]})
('máy ko có khả năng room 2iphone x sao bài viết ghi là room 2iphone x', {'entities': [(10, 33, 'WHAT_FRONT_CAMERA')]})
('bạn oi ở khương đình hà nội có mầu iphone xanh không?', {'entities': [(9, 20, 'LOCATION'), (35, 46, 'COLOR')]})
('có hỗ trợ thanh toán qua thẻ tín dụng không', {'entities': [(10, 32, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT')]})
